Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
829,448;1394354,84;1372709;1395184,288;22475,288;;;;;
829,544;1392741,94;1311195;1393571,484;82376,484;;;;;
712,331;1392741,94;1263307;1393454,271;130147,271;;;;;
495,699;1392741,94;1238739;1393237,639;154498,639;;;;;
313,983;1392741,94;1223371;1393055,923;169684,923;;;;;
173,058;1392741,94;1220688;1392914,998;172226,998;;;;;
144,547;1392741,94;1232821;1392886,487;160065,487;;;;;
254,103;1392741,94;1256684;1392996,043;136312,043;;;;;
453,181;1392741,94;1304839;1393195,121;88356,121;;;;;
675,48;1392741,94;1377100;1393417,42;16317,42;;;;;
863,446;1392741,94;1453994;1393605,386;-60388,614;;;;;
1157,033;1392741,94;1517868;1393898,973;-123969,027;;;;;
1530,411;1392741,94;1568249;1394272,351;-173976,649;;;;;
1938,152;1392741,94;1592823;1394680,092;-198142,908;;;;;
2166,422;1392741,94;1574445;1394908,362;-179536,638;;;;;
2272,513;1392741,94;1553861;1395014,453;-158846,547;;;;;
2601,271;1392741,94;1559195;1395343,211;-163851,789;;;;;
2609,998;1392741,94;1649161;1395351,938;-253809,062;;;;;
2640,411;1392741,94;1712649;1395382,351;-317266,649;;;;;
2741,169;1392741,94;1684024;1395483,109;-288540,891;;;;;
2784,764;1392741,94;1612022;1395526,704;-216495,296;;;;;
2857,094;1392741,94;1531735;1395599,034;-136135,966;;;;;
2935,146;1392741,94;1458474;1395677,086;-62796,914;;;;;
3028,514;1392741,94;1370046;1395770,454;25724,454;;;;;
3093,887;1392741,94;1277430;1395835,827;118405,827;;;;;
3072,552;1415322,58;1215965;1418395,132;202430,132;;;;;
2874,928;1415322,58;1167849;1418197,508;250348,508;;;;;
2618,609;1415322,58;1147783;1417941,189;270158,189;;;;;
2209,39;1415322,58;1156337;1417531,97;261194,97;;;;;
1851,561;1415322,58;1183214;1417174,141;233960,141;;;;;
1546,305;1415322,58;1251198;1416868,885;165670,885;;;;;
1429,908;1415322,58;1394567;1416752,488;22185,488;;;;;
